groom_giver,groom_reciever,constrained_duration,observation_name
1K2,1B0,36,2016-08-10_1B0_DP_5
0K0,1K1,68,2016-08-10_1K1_DP_4
1G4,85T,71,2016-08-10_85T_DP_4
90T,93T,595,2016-08-11_93T_DP_4
2E4,61R,348,2016-08-12_61R_DP_1
9E8,00V,370,2016-08-16_00V_DP_4
90T,4J4,566,2016-08-16_4J4_DP_6
5E6,4C9,110,2016-08-17_4C9_DP_4
3D9,4E2,200,2016-08-19_4E2_DP_4
51J,7A2,57,2016-08-22_7A2_DP_4
51J,7A2,61,2016-08-22_7A2_DP_4
5E6,45Z,157,2016-08-23_45Z_DP_5
8D8,2G4,28,2016-08-30_2G4_DP_2
2G4,00V,103,2016-09-01_00V_DP_5
1I7,00V,429,2016-09-06_00V_DP_6
2C9,5I5,257,2016-09-07_5I5_DP_3
51A,0F0,144,2016-09-08_0F0_DP_4
5C6,2G4,321,2016-09-08_2G4_DP_1
1G4,0I9,58,2016-09-14_0I9_DP_1
33T,12O,102,2016-09-19_12O_DP_2
7A2,5J1,132,2016-09-19_5J1_DP_6
7A2,5J1,197,2016-09-19_5J1_DP_6
45Z,2E4,265,2016-09-20_2E4_DP_1
98J,90T,235,2016-09-20_90T_DP_5
18I,1G1,228,2016-09-26_1G1_DP_6
78I,98K,209,2016-09-26_98K_DP_4
0F0,14E,41,2016-09-27_14E_DP_4
90T,4J4,468,2016-09-27_4J4_DP_1
51Z,13H,344,2016-10-03_13H_DP_3
7G1,9E3,85,2016-10-05_9E3_DP_5
51Z,5C6,41,2016-10-06_5C6_DP_6
85T,1G4,44,2016-10-07_1G4_DP_4
4E2,3J7,70,2016-10-07_3J7_DP_2
1I5,4J4,88,2016-10-07_4J4_DP_6
1B0,51Z,209,2016-10-10_51Z_DP_6
5E6,98J,37,2016-10-10_98J_DP_6
5E6,98J,47,2016-10-10_98J_DP_6
