groom_giver,groom_reciever,constrained_duration,observation_name
juvenile,14L,127,2010-09-02_14L_JB_6
10S,36S,95,2010-09-02_36S_JB_3
juvenile,90D,115,2010-09-02_90D_JB_2
00O,90D,133,2010-09-02_90D_JB_2
juvenile,59A,82,2010-09-03_59A_JB_3
juvenile,33T,236,2010-09-14_33T_JB_3
31S,36T,153,2010-09-15_36T_JB_4
juvenile,73B,267,2010-09-15_73B_JB_2
juvenile,30C,233,2010-09-16_30C_JB_2
juvenile,30C,65,2010-09-16_30C_JB_2
juvenile,64D,195,2010-09-16_64D_JB_4
infant,73B,96,2010-09-16_73B_JB_5
24B,40L,22,2010-09-17_40L_JB_1
juvenile,03J,100,2010-10-11_03J_BA_5
29Z,14I,267,2010-10-11_14I_BA_2
juvenile,29B,7,2010-10-11_29B_JB_3
14L,36S,241,2010-10-11_36S_JB_2
juvenile,43J,326,2010-10-11_43J_JB_5
juvenile,44J,57,2010-10-11_44J_JB_2
infant,56A,149,2010-10-11_56A_BA_3
juvenile,64P,69,2010-10-11_64P_BA_4
juvenile,64P,37,2010-10-11_64P_BA_4
14I,78T,200,2010-10-11_78T_JB_3
juvenile,78T,196,2010-10-11_78T_JB_3
K00,92D,203,2010-10-11_92D_BA_6
juvenile,10S,97,2010-10-12_10S_JB_2
R65,17C,139,2010-10-13_17C_BA_2
R65,17C,254,2010-10-13_17C_BA_2
juvenile,33T,165,2010-10-13_33T_JB_5
juvenile,43J,210,2010-10-13_43J_JB_3
juvenile,60E,204,2010-10-13_60E_BA_3
infant,60E,80,2010-10-13_60E_BA_3
juvenile,82L,134,2010-10-13_82L_JB_5
juvenile,87K,44,2010-10-13_87K_BA_5
62V,30L,340,2010-10-14_30L_BA_6
juvenile,36S,596,2010-10-14_36S_JB_6
43P,63V,345,2010-10-14_63V_JB_5
infant,V36,23,2010-10-14_V36_BA_6
juvenile,V36,192,2010-10-14_V36_BA_6
juvenile,V36,97,2010-10-14_V36_BA_6
juvenile,X58,520,2010-10-14_X58_JB_4
juvenile,60E,206,2010-10-15_60E_BA_3
juvenile,60E,48,2010-10-15_60E_BA_3
36T,31I,352,2010-10-18_31I_BA_6
36T,31I,110,2010-10-18_31I_BA_6
juvenile,O34,76,2010-10-18_O34_BA_2
juvenile,O34,75,2010-10-18_O34_BA_2
juvenile,O34,272,2010-10-18_O34_BA_2
juvenile,28J,358,2010-10-19_28J_BA_5
juvenile,43H,30,2010-10-19_43H_JB_6
juvenile,43H,34,2010-10-19_43H_JB_6
64D,50I,79,2010-10-19_50I_BA_6
59A,85B,73,2010-10-19_85B_JB_6
juvenile,96B,70,2010-10-19_96B_JB_6
juvenile,14L,108,2010-10-20_14L_JB_4
juvenile,29Z,418,2010-10-20_29Z_BA_3
juvenile,32S,107,2010-10-20_32S_BA_5
juvenile,43J,116,2010-10-20_43J_JB_2
juvenile,60E,600,2010-10-20_60E_BA_4
K00,62H,243,2010-10-20_62H_JB_4
juvenile,87K,181,2010-10-21_87K_BA_5
R65,17C,189,2010-10-25_17C_BA_2
juvenile,31S,271,2010-10-25_31S_BA_6
juvenile,35N,442,2010-10-25_35N_BA_1
juvenile,52P,129,2010-10-25_52P_BA_3
40L,52P,66,2010-10-25_52P_BA_3
juvenile,60E,31,2010-10-25_60E_BA_5
juvenile,52P,202,2010-10-26_52P_BA_6
juvenile,52P,123,2010-10-26_52P_BA_6
juvenile,62H,45,2010-10-26_62H_JB_3
juvenile,62H,138,2010-10-26_62H_JB_3
60P,92D,50,2010-10-26_92D_BA_5
juvenile,14I,375,2010-10-27_14I_BA_3
juvenile,28J,154,2010-10-27_28J_BA_6
61J,28J,127,2010-10-27_28J_BA_6
juvenile,28N,39,2010-10-27_28N_BA_5
juvenile,28N,77,2010-10-27_28N_BA_5
62V,36Z,40,2010-10-27_36Z_BA_3
57H,40L,28,2010-10-27_40L_JB_3
juvenile,64P,20,2010-10-27_64P_BA_2
57H,Z14,278,2010-10-27_Z14_JB_6
juvenile,78T,241,2010-10-28_78T_JB_3
juvenile,92D,86,2010-10-28_92D_BA_2
juvenile,92D,56,2010-10-28_92D_BA_2
juvenile,92D,133,2010-10-28_92D_BA_2
juvenile,20F,84,2010-10-29_20F_BA_3
juvenile,79C,412,2010-10-29_79C_JB_2
juvenile,K00,175,2010-10-29_K00_JB_2
90D,00O,121,2010-11-02_00O_JB_6
juvenile,90D,361,2010-11-02_90D_JB_5
juvenile,K00,57,2010-11-02_K00_JB_5
juvenile,X58,520,2010-11-02_X58_JB_5
78T,36S,484,2010-11-03_36S_JB_5
98T,10S,201,2010-11-04_10S_JB_3
juvenile,44J,53,2010-11-04_44J_JB_4
juvenile,62V,231,2010-11-04_62V_JB_3
juvenile,62V,26,2010-11-04_62V_JB_3
50I,63V,97,2010-11-08_63V_JB_6
infant,79C,75,2010-11-08_79C_JB_1
68V,98T,219,2010-11-08_98T_JB_6
68V,98T,28,2010-11-08_98T_JB_6
98T,10S,24,2010-11-09_10S_JB_2
59A,36S,91,2010-11-09_36S_JB_4
79C,62H,208,2010-11-09_62H_JB_5
juvenile,62H,120,2010-11-09_62H_JB_5
juvenile,42L,400,2010-11-10_42L_JB_2
14L,56A,333,2010-11-12_56A_BA_3
juvenile,29B,134,2010-11-15_29B_JB_5
36S,17C,103,2010-11-16_17C_BA_5
87K,43F,72,2010-11-16_43F_BA_3
juvenile,43J,2,2010-11-16_43J_JB_6
juvenile,59A,38,2010-11-16_59A_JB_4
juvenile,59A,338,2010-11-16_59A_JB_4
00J,63V,54,2010-11-16_63V_JB_3
K00,92D,77,2010-11-16_92D_BA_4
juvenile,96B,295,2010-11-16_96B_JB_5
juvenile,96B,245,2010-11-16_96B_JB_5
infant,N12,207,2010-11-16_N12_BA_6
infant,N12,97,2010-11-16_N12_BA_6
31S,T53,76,2010-11-16_T53_BA_5
31S,T53,26,2010-11-16_T53_BA_5
31S,T53,17,2010-11-16_T53_BA_5
31S,T53,43,2010-11-16_T53_BA_5
55V,04I,218,2010-11-17_04I_BA_4
infant,28J,53,2010-11-17_28J_BA_4
infant,29V,30,2010-11-17_29V_BA_5
juvenile,29V,28,2010-11-17_29V_BA_5
juvenile,43J,230,2010-11-17_43J_JB_4
juvenile,64D,79,2010-11-17_64D_JB_4
juvenile,64D,205,2010-11-17_64D_JB_4
juvenile,82L,225,2010-11-17_82L_JB_4
juvenile,29V,69,2010-11-18_29V_BA_4
73B,56E,55,2010-11-18_56E_BA_5
juvenile,63V,153,2010-11-18_63V_JB_6
juvenile,64P,121,2010-11-18_64P_BA_4
60P,14I,216,2010-11-02_14I_BA_3
juvenile,32S,196,2010-11-22_32S_BA_4
juvenile,32S,35,2010-11-22_32S_BA_4
43F,35N,183,2010-11-22_35N_BA_5
juvenile,36Z,425,2010-11-22_36Z_BA_4
17C,43F,191,2010-11-23_43F_BA_5
infant,55V,14,2010-11-23_55V_BA_6
29B,68J,133,2010-11-23_68J_BA_4
62V,68J,141,2010-11-23_68J_BA_4
juvenile,68J,58,2010-11-23_68J_BA_4
K00,92D,598,2010-11-23_92D_BA_6
juvenile,60P,170,2010-11-24_60P_BA_5
juvenile,20F,52,2010-11-03_20F_BA_4
24B,28J,120,2010-11-03_28J_BA_5
24B,28J,312,2010-11-03_28J_BA_5
juvenile,36Z,121,2010-11-03_36Z_BA_6
juvenile,92D,366,2010-11-03_92D_BA_4
00O,55V,286,2010-11-30_55V_BA_1
00O,55V,71,2010-11-30_55V_BA_1
juvenile,60P,35,2010-11-30_60P_BA_4
10S,64P,361,2010-11-30_64P_BA_5
juvenile,74S,200,2010-11-30_74S_BA_6
50I,74S,198,2010-11-30_74S_BA_6
infant,29Z,277,2010-11-04_29Z_BA_4
68V,29Z,116,2010-11-04_29Z_BA_4
juvenile,29Z,94,2010-11-04_29Z_BA_4
infant,29Z,98,2010-11-04_29Z_BA_4
34P,81O,37,2010-11-04_81O_BA_5
43F,28J,55,2010-11-08_28J_BA_6
juvenile,28N,50,2010-11-08_28N_BA_6
juvenile,28N,33,2010-11-08_28N_BA_6
