date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2010-08-02,2010-08-02_17C_BA_4,1,17C,17C,NA,NA,2010-08-02T11:45:55Z
2010-08-02,2010-08-02_17C_BA_4,2,17C,17C,NA,NA,2010-08-02T11:50:56Z
2010-08-02,2010-08-02_17C_BA_4,3,17C,56A,NA,NA,2010-08-02T11:55:50Z
2010-08-02,2010-08-02_20F_BA_2,1,20F,X44,NA,NA,2010-08-02T09:08:26Z
2010-08-02,2010-08-02_20F_BA_2,2,20F,20F,NA,NA,2010-08-02T09:13:26Z
2010-08-02,2010-08-02_20F_BA_2,3,20F,20F,NA,NA,2010-08-02T09:18:26Z
2010-08-02,2010-08-02_24B_BA_1,1,24B,24B,NA,NA,2010-08-02T08:05:09Z
2010-08-02,2010-08-02_24B_BA_1,2,24B,10S,NA,NA,2010-08-02T08:10:05Z
2010-08-02,2010-08-02_24B_BA_1,3,24B,24B,NA,NA,2010-08-02T08:15:06Z
2010-08-02,2010-08-02_25L_JB_6,1,25L,"23T, 03J",NA,NA,2010-08-02T13:14:21Z
2010-08-02,2010-08-02_25L_JB_6,2,25L,25L,NA,NA,2010-08-02T13:19:17Z
2010-08-02,2010-08-02_25L_JB_6,3,25L,O34,NA,NA,2010-08-02T13:24:19Z
2010-08-02,2010-08-02_28J_BA_3,1,28J,28J,NA,NA,2010-08-02T09:49:32Z
2010-08-02,2010-08-02_28J_BA_3,2,28J,O34,NA,NA,2010-08-02T09:54:38Z
2010-08-02,2010-08-02_28J_BA_3,3,28J,28J,NA,NA,2010-08-02T09:59:29Z
2010-08-02,2010-08-02_28N_BA_5,1,28N,28N,NA,NA,2010-08-02T11:57:22Z
2010-08-02,2010-08-02_28N_BA_5,2,28N,28N,NA,NA,2010-08-02T12:02:45Z
2010-08-02,2010-08-02_28N_BA_5,3,28N,28N,NA,NA,2010-08-02T12:07:21Z
2010-08-02,2010-08-02_29V_BA_3,1,29V,44J,NA,NA,2010-08-02T09:37:23Z
2010-08-02,2010-08-02_29V_BA_3,2,29V,29V,NA,NA,2010-08-02T09:42:20Z
2010-08-02,2010-08-02_29V_BA_3,3,29V,29V,NA,NA,2010-08-02T09:47:20Z
2010-08-02,2010-08-02_29Z_BA_5,1,29Z,29Z,NA,NA,2010-08-02T12:13:39Z
2010-08-02,2010-08-02_29Z_BA_5,2,29Z,29Z,NA,NA,2010-08-02T12:18:37Z
2010-08-02,2010-08-02_29Z_BA_5,3,29Z,29Z,NA,NA,2010-08-02T12:23:47Z
2010-08-02,2010-08-02_30C_JB_2,1,30C,30C,NA,NA,2010-08-02T08:40:27Z
2010-08-02,2010-08-02_30C_JB_2,2,30C,30C,NA,NA,2010-08-02T08:45:32Z
2010-08-02,2010-08-02_30C_JB_2,3,30C,30C,NA,NA,2010-08-02T08:50:18Z
2010-08-02,2010-08-02_30L_BA_1,1,30L,30L,NA,NA,2010-08-02T07:20:45Z
2010-08-02,2010-08-02_30L_BA_1,2,30L,30L,NA,NA,2010-08-02T07:25:43Z
2010-08-02,2010-08-02_30L_BA_1,3,30L,30L,NA,NA,2010-08-02T07:30:44Z
2010-08-02,2010-08-02_32S_BA_3,1,32S,32S,NA,NA,2010-08-02T10:03:21Z
2010-08-02,2010-08-02_32S_BA_3,2,32S,32S,NA,NA,2010-08-02T10:08:30Z
2010-08-02,2010-08-02_32S_BA_3,3,32S,32S,NA,NA,2010-08-02T10:13:21Z
2010-08-02,2010-08-02_33T_JB_5,1,33T,"43P, 05I",NA,NA,2010-08-02T12:07:27Z
2010-08-02,2010-08-02_33T_JB_5,2,33T,"05I, 32S, 34N",NA,NA,2010-08-02T12:12:28Z
2010-08-02,2010-08-02_33T_JB_5,3,33T,"32S, 05I",NA,NA,2010-08-02T12:17:30Z
2010-08-02,2010-08-02_34N_JB_4,1,34N,"04I, 57H",NA,NA,2010-08-02T11:10:37Z
2010-08-02,2010-08-02_34N_JB_4,2,34N,34N,NA,NA,2010-08-02T11:15:19Z
2010-08-02,2010-08-02_34N_JB_4,3,34N,34N,NA,NA,2010-08-02T11:20:13Z
2010-08-02,2010-08-02_35N_BA_2,1,35N,35N,NA,NA,2010-08-02T08:30:13Z
2010-08-02,2010-08-02_35N_BA_2,2,35N,35N,NA,NA,2010-08-02T08:35:22Z
2010-08-02,2010-08-02_35N_BA_2,3,35N,35N,NA,NA,2010-08-02T08:40:12Z
2010-08-02,2010-08-02_35V_BA_3,1,35V,35V,NA,NA,2010-08-02T09:22:29Z
2010-08-02,2010-08-02_35V_BA_3,2,35V,35V,NA,NA,2010-08-02T09:27:27Z
2010-08-02,2010-08-02_35V_BA_3,3,35V,35V,NA,NA,2010-08-02T09:32:29Z
2010-08-02,2010-08-02_43F_BA_1,1,43F,43F,NA,NA,2010-08-02T08:16:51Z
2010-08-02,2010-08-02_43F_BA_1,2,43F,73B,NA,NA,2010-08-02T08:21:50Z
2010-08-02,2010-08-02_43F_BA_1,3,43F,43F,NA,NA,2010-08-02T08:26:50Z
2010-08-02,2010-08-02_43J_JB_2,1,43J,43J,NA,NA,2010-08-02T09:15:34Z
