groom_giver,groom_reciever,constrained_duration,observation_name
85B,59A,226,2011-11-14_85B_JB_5
98T,juvenile,41,2011-11-14_98T_JB_6
1B1,juvenile,29,2011-11-15_1B1_BA_6
32S,juvenile,596,2011-11-15_32S_JB_4
50I,juvenile,39,2011-11-15_50I_BA_1
50I,juvenile,221,2011-11-15_50I_BA_1
O52,85B,36,2011-11-16_O52_JB_2
O52,85B,407,2011-11-16_O52_JB_2
20F,juvenile,264,2011-11-17_20F_JB_6
20F,82A,123,2011-11-17_20F_JB_6
25L,juvenile,91,2011-11-17_25L_JB_6
6A8,1B1,37,2011-11-17_6A8_BA_5
6A8,juvenile,48,2011-11-17_6A8_BA_5
6A8,juvenile,171,2011-11-17_6A8_BA_5
6A8,35V,107,2011-11-17_6A8_BA_5
82A,85B,598,2011-11-17_82A_BA_3
K00,juvenile,150,2011-11-17_K00_BA_6
K00,juvenile,36,2011-11-17_K00_BA_6
64D,juvenile,230,2011-11-18_64D_JB_1
55V,juvenile,91,2011-11-02_55V_BA_2
8A7,juvenile,70,2011-11-21_8A7_BA_5
00O,82L,213,2011-11-22_00O_JB_6
00O,82L,39,2011-11-22_00O_JB_6
00O,82L,189,2011-11-22_00O_JB_6
17C,98T,190,2011-11-22_17C_BA_5
1B1,juvenile,598,2011-11-22_1B1_BA_4
55V,juvenile,288,2011-11-22_55V_BA_6
61J,55V,49,2011-11-22_61J_BA_5
68V,N12,70,2011-11-22_68V_JB_3
68V,N12,239,2011-11-22_68V_JB_3
73B,56E,65,2011-11-22_73B_JB_3
73B,64P,109,2011-11-22_73B_JB_3
82L,1A3,74,2011-11-22_82L_BA_6
87K,0A9,133,2011-11-22_87K_BA_5
10S,juvenile,132,2011-11-23_10S_JB_4
60P,juvenile,337,2011-11-28_60P_BA_6
60P,68J,208,2011-11-28_60P_BA_6
60P,68J,15,2011-11-28_60P_BA_6
87K,29B,54,2011-11-28_87K_BA_5
62V,juvenile,498,2011-11-29_62V_JB_6
2A5,juvenile,107,2011-11-30_2A5_BA_5
60P,juvenile,72,2011-11-30_60P_BA_4
60P,35N,4,2011-11-30_60P_BA_4
9A4,56A,145,2011-11-30_9A4_BA_2
14L,29Z,468,2011-11-07_14L_BA_6
17C,04N,81,2011-11-08_17C_BA_6
