date,observation.name,scan.number,focal.monkey,in.proximity,focal.activity,partners.activity (sequential),time
2017-07-17,2017-07-17_9I8_JN_1,1,9I8,"9I8, 83Z, 8I9",rest,"rest, rest",2017-07-17T08:57:17Z
2017-07-17,2017-07-17_9I8_JN_1,2,9I8,9I8,rest,NA,2017-07-17T09:02:22Z
2017-07-18,2017-07-18_0K8_JN_1,1,0K8,"0K8, 2C3",social,social,2017-07-18T09:55:27Z
2017-07-18,2017-07-18_0K8_JN_1,2,0K8,"0K8, 2C3, 86Z",rest,"rest, rest",2017-07-18T10:00:27Z
2017-07-18,2017-07-18_11Z_JN_4,1,11Z,"11Z, 25P",rest,rest,2017-07-18T12:08:31Z
2017-07-18,2017-07-18_11Z_JN_4,2,11Z,11Z,rest,NA,2017-07-18T12:13:32Z
2017-07-18,2017-07-18_24V_JN_4,1,24V,24V,social,NA,2017-07-18T11:07:27Z
2017-07-18,2017-07-18_24V_JN_4,2,24V,"24V, 4F1",rest,rest,2017-07-18T11:12:42Z
2017-07-18,2017-07-18_25P_JN_1,1,25P,25P,feedplant,NA,2017-07-18T08:05:28Z
2017-07-18,2017-07-18_25P_JN_1,2,25P,25P,feedplant,NA,2017-07-18T08:11:04Z
2017-07-18,2017-07-18_2F2_JN_1,1,2F2,2F2,feedplant,NA,2017-07-18T08:56:53Z
2017-07-18,2017-07-18_2F2_JN_1,2,2F2,2F2,feedplant,NA,2017-07-18T09:01:52Z
2017-07-18,2017-07-18_44V_JN_4,1,44V,44V,travel,NA,2017-07-18T11:25:42Z
2017-07-18,2017-07-18_44V_JN_4,2,44V,44V,social,NA,2017-07-18T11:30:55Z
2017-07-18,2017-07-18_46Z_JN_4,1,46Z,46Z,rest,NA,2017-07-18T12:52:38Z
2017-07-18,2017-07-18_46Z_JN_4,2,46Z,46Z,rest,NA,2017-07-18T12:57:40Z
2017-07-18,2017-07-18_51J_JN_4,1,51J,51J,rest,NA,2017-07-18T12:17:48Z
2017-07-18,2017-07-18_51J_JN_4,2,51J,51J,rest,NA,2017-07-18T12:22:49Z
2017-07-18,2017-07-18_5H4_JN_4,1,5H4,5H4,rest,NA,2017-07-18T12:25:53Z
2017-07-18,2017-07-18_5H4_JN_4,2,5H4,5H4,social,NA,2017-07-18T12:30:53Z
2017-07-18,2017-07-18_5K0_JN_1,1,5K0,5K0,travel,NA,2017-07-18T10:08:21Z
2017-07-18,2017-07-18_5K0_JN_1,2,5K0,5K0,rest,NA,2017-07-18T10:13:21Z
2017-07-18,2017-07-18_6A9_JN_1,1,6A9,6A9,rest,NA,2017-07-18T10:15:49Z
2017-07-18,2017-07-18_6A9_JN_1,2,6A9,6A9,rest,NA,2017-07-18T10:20:50Z
2017-07-18,2017-07-18_6C2_JN_4,1,6C2,6C2,social,NA,2017-07-18T11:19:54Z
2017-07-18,2017-07-18_6C2_JN_4,2,6C2,6C2,social,NA,2017-07-18T11:24:52Z
2017-07-18,2017-07-18_6K6_JN_1,1,6K6,6K6,feedplant,NA,2017-07-18T08:34:31Z
2017-07-18,2017-07-18_6K6_JN_1,2,6K6,6K6,feedplant,NA,2017-07-18T08:39:32Z
