groom_giver,groom_reciever,constrained_duration,observation_name
6D4,6D9,172,2013-10-23_6D9_CM_4
adult male,93O,243,2013-10-23_93O_CM_4
adult male,19A,90,2013-10-24_19A_CM_1
adult male,1C7,101,2013-10-24_1C7_CM_3
24V,1E2,120,2013-10-24_1E2_CM_6
adult male,21H,303,2013-10-24_21H_CM_2
1C7,44V,281,2013-10-24_44V_CM_5
1C7,44V,44,2013-10-24_44V_CM_5
62R,6D4,14,2013-10-24_6D4_CM_6
4D8,0B6,57,2013-10-28_0B6_CM_5
4D8,0B6,112,2013-10-28_0B6_CM_5
62R,0B6,78,2013-10-28_0B6_CM_5
4D8,0B6,101,2013-10-28_0B6_CM_5
6D4,0B6,59,2013-10-28_0B6_CM_5
6D4,1E2,478,2013-10-28_1E2_CM_5
1C7,44V,84,2013-10-28_44V_CM_6
2C4,76J,465,2013-10-28_76J_CM_5
93O,83Z,275,2013-10-28_83Z_CM_6
adult male,62R,296,2013-10-30_62R_CM_6
adult male,86Z,121,2013-10-31_86Z_CM_3
51V,0B6,33,2013-11-01_0B6_CM_3
adult male,37V,65,2013-11-01_37V_CM_5
adult male,3A2,273,2013-11-01_3A2_CM_6
6C2,2C4,41,2013-11-04_2C4_CM_5
1C7,3A2,142,2013-11-04_3A2_CM_5
53E,3A2,115,2013-11-04_3A2_CM_5
49V,44V,117,2013-11-04_44V_CM_4
4D8,0B6,355,2013-11-05_0B6_CM_6
adult male,1C5,18,2013-11-05_1C5_CM_5
6C2,3A2,59,2013-11-05_3A2_CM_2
51V,0B6,189,2013-11-08_0B6_CM_5
53E,24V,85,2013-11-08_24V_CM_5
51V,51V,204,2013-11-08_51V_CM_6
51V,76J,385,2013-11-08_76J_CM_5
adult male,19A,454,2013-11-11_19A_CM_2
24V,53E,220,2013-11-11_53E_CM_5
37V,62R,51,2013-11-11_62R_CM_5
adult male,62R,121,2013-11-11_62R_CM_5
adult male,62R,88,2013-11-11_62R_CM_5
adult male,19A,276,2013-11-12_19A_CM_3
62R,24V,101,2013-11-12_24V_CM_4
62R,24V,40,2013-11-12_24V_CM_4
44V,2C3,30,2013-11-12_2C3_CM_5
51V,37V,26,2013-11-12_37V_CM_2
2C4,37V,151,2013-11-12_37V_CM_2
83Z,53E,239,2013-11-12_53E_CM_6
6D4,6D9,43,2013-11-12_6D9_CM_6
51V,76J,240,2013-11-12_76J_CM_3
adult male,86Z,16,2013-11-12_86Z_CM_2
21H,1E2,175,2013-11-13_1E2_CM_4
6D4,0B6,249,2013-11-14_0B6_CM_4
51V,25P,51,2013-11-14_25P_CM_2
2C4,6C2,247,2013-11-15_6C2_CM_5
adult male,60R,36,2013-11-19_60R_CM_1
3A2,6C2,241,2013-11-19_6C2_CM_5
49V,24V,192,2013-11-20_24V_CM_5
adult male,74T,168,2013-11-20_74T_CM_1
24V,49V,57,2013-11-21_49V_CM_6
19A,1C7,35,2013-11-22_1C7_CM_1
44V,76J,204,2013-11-22_76J_CM_3
6D6,6D4,150,2013-06-13_6D4_KB_6
24V,2C3,275,2013-06-14_2C3_KB_3
1C7,37V,440,2013-06-14_37V_KB_6
adult male,19A,98,2013-06-17_19A_KB_3
4D8,24V,353,2013-06-17_24V_KB_6
19A,37V,102,2013-06-17_37V_KB_4
6D4,1C5,94,2013-06-25_1C5_KB_1
21H,1E2,200,2013-06-25_1E2_KB_3
21H,3A2,47,2013-06-25_3A2_KB_5
83Z,86Z,571,2013-06-25_86Z_KB_4
53E,6D9,58,2013-06-26_6D9_KB_5
21H,1E2,50,2013-06-27_1E2_KB_4
adult male,21H,161,2013-06-27_21H_KB_3
adult male,62R,399,2013-06-27_62R_KB_3
2C4,6D9,77,2013-06-27_6D9_KB_3
adult male,2C3,104,2013-06-28_2C3_KB_5
adult male,76J,198,2013-06-28_76J_KB_1
93O,6D4,60,2013-07-01_6D4_KB_3
21H,0B6,53,2013-07-05_0B6_KB_3
6D4,6C2,187,2013-07-05_6C2_KB_6
6D4,24V,53,2013-07-08_24V_KB_1
adult male,1C5,41,2013-07-11_1C5_KB_4
1E2,21H,64,2013-07-11_21H_KB_2
25P,51V,63,2013-07-11_51V_KB_3
25P,51V,93,2013-07-11_51V_KB_3
adult male,1C5,413,2013-07-15_1C5_KB_6
24V,62R,213,2013-07-15_62R_KB_2
adult male,6C2,59,2013-07-15_6C2_KB_5
adult male,0B6,85,2013-07-16_0B6_KB_6
adult male,76J,310,2013-07-17_76J_KB_1
4D8,76J,119,2013-07-19_76J_KB_6
adult male,1E2,153,2013-07-22_1E2_KB_1
21H,1E2,294,2013-07-23_1E2_KB_2
0B6,62R,599,2013-07-23_62R_KB_2
6D4,93O,203,2013-07-24_93O_KB_5
53E,2C4,169,2013-07-25_2C4_KB_1
76J,1E2,243,2013-07-26_1E2_KB_3
6D9,24V,370,2013-07-26_24V_KB_4
51V,49V,244,2013-07-26_49V_KB_6
adult male,86Z,81,2013-07-29_86Z_KB_2
adult male,86Z,83,2013-07-29_86Z_KB_2
60R,86Z,93,2013-07-29_86Z_KB_2
6D6,25P,106,2013-07-30_25P_KB_4
51V,49V,140,2013-07-30_49V_KB_2
55J,49V,92,2013-08-02_49V_KB_5
adult male,44V,97,2013-08-05_44V_KB_4
24V,62R,60,2013-08-05_62R_KB_2
adult male,19A,507,2013-08-06_19A_KB_6
adult male,1C7,107,2013-08-06_1C7_KB_5
6D9,3A2,600,2013-08-06_3A2_KB_5
